length_tokens,fve,n_samples_at_full
1,-0.520470,0
2,-0.171011,0
3,-0.022377,0
4,0.046633,0
5,0.076516,0
6,0.140722,0
7,0.188339,0
8,0.266040,0
9,0.323009,0
10,0.379348,0
11,0.423958,0
12,0.460602,0
13,0.509127,0
14,0.538921,0
15,0.559289,0
16,0.581072,0
17,0.598434,0
18,0.602828,0
19,0.608211,0
20,0.611496,0
21,0.616506,0
22,0.621847,0
23,0.623190,0
24,0.628416,0
25,0.631483,0
26,0.635917,0
27,0.639045,0
28,0.644600,0
29,0.646310,0
30,0.650274,0
31,0.655190,0
32,0.656232,0
33,0.658938,0
34,0.660646,0
35,0.665113,0
36,0.666050,0
37,0.670087,0
38,0.671625,0
39,0.672644,0
40,0.675715,0
41,0.676483,0
42,0.677304,0
43,0.680022,0
44,0.679417,0
45,0.680771,0
46,0.681890,0
47,0.682149,0
48,0.684536,0
49,0.684848,0
50,0.685875,0
51,0.686176,0
52,0.686687,0
53,0.686492,0
54,0.687389,0
55,0.687440,0
56,0.688757,0
57,0.689354,0
58,0.689268,0
59,0.690565,0
60,0.691165,0
61,0.690948,0
62,0.691089,0
63,0.691134,0
64,0.691516,0
65,0.692473,0
66,0.691747,0
67,0.692148,0
68,0.692884,0
69,0.692615,0
70,0.692281,0
71,0.692617,0
72,0.692948,0
73,0.692818,0
74,0.693591,0
75,0.694772,0
76,0.694696,0
77,0.695558,0
78,0.695594,0
79,0.695927,0
80,0.694008,0
81,0.696662,0
82,0.697014,0
83,0.697331,0
84,0.697523,0
85,0.697793,0
86,0.698543,0
87,0.699139,0
88,0.699461,0
89,0.699678,0
90,0.700082,0
91,0.700015,0
92,0.700969,0
93,0.701325,0
94,0.701204,0
95,0.700982,0
96,0.700816,0
97,0.700804,0
98,0.700434,0
99,0.700547,0
100,0.700866,0
101,0.701095,0
102,0.701226,0
103,0.701233,0
104,0.701340,0
105,0.701284,0
106,0.701004,0
107,0.701175,0
108,0.701244,0
109,0.701053,1
110,0.701593,1
111,0.701354,1
112,0.701141,1
113,0.700788,1
114,0.700378,1
115,0.700043,1
116,0.699668,2
117,0.699928,2
118,0.699966,2
119,0.699883,2
120,0.699524,2
121,0.698970,3
122,0.698621,3
123,0.698717,3
124,0.698532,3
125,0.698193,4
126,0.697784,4
127,0.697352,4
128,0.697174,4
129,0.696863,4
130,0.696908,4
131,0.697071,5
132,0.696950,5
133,0.696369,5
134,0.696097,5
135,0.696000,6
136,0.695956,6
137,0.695739,8
138,0.695486,8
139,0.694879,9
140,0.694383,9
141,0.693706,9
142,0.693545,10
143,0.693345,10
144,0.692845,12
145,0.692301,12
146,0.692050,12
147,0.691746,13
148,0.691648,14
149,0.692161,15
150,0.691720,15
151,0.690761,16
152,0.689971,17
153,0.688552,17
154,0.687565,18
155,0.687539,18
156,0.687964,18
157,0.686589,18
158,0.686034,18
159,0.684962,19
160,0.684359,21
161,0.683684,22
162,0.683496,22
163,0.683056,23
164,0.683078,24
165,0.682690,25
166,0.681588,25
167,0.681337,26
168,0.680762,26
169,0.679967,27
170,0.679954,30
171,0.678494,32
172,0.678353,33
173,0.678331,34
174,0.677589,34
175,0.677068,35
176,0.677121,35
177,0.676159,35
178,0.675666,36
179,0.675876,36
180,0.674933,36
181,0.675046,37
182,0.673917,38
183,0.673274,38
184,0.672249,39
185,0.671329,40
186,0.670723,41
187,0.670153,41
188,0.669500,41
189,0.668996,41
190,0.668149,42
191,0.667531,42
192,0.667422,43
193,0.666373,43
194,0.665383,44
195,0.664636,44
196,0.664660,45
197,0.664507,45
198,0.664020,45
199,0.663153,45
200,0.661585,45
201,0.659889,45
202,0.659598,46
203,0.659002,46
204,0.658213,46
205,0.657641,46
206,0.656629,47
207,0.656598,47
208,0.655116,47
209,0.654549,47
210,0.653579,48
211,0.653713,49
212,0.653848,49
213,0.654004,49
214,0.654242,50
215,0.652889,50
216,0.652633,50
217,0.651935,50
218,0.652063,50
219,0.649667,50
220,0.649297,50
221,0.646101,50
222,0.644856,50
223,0.644015,50
224,0.643062,50
225,0.643324,50
226,0.643557,50
227,0.643347,50
228,0.642042,50
229,0.641811,50
230,0.641701,50
231,0.640858,50
232,0.639562,50
233,0.640417,50
234,0.639090,50
235,0.639608,50
236,0.640687,50
237,0.642491,50
238,0.642672,50
239,0.643329,50
240,0.642929,50
241,0.642339,51
242,0.641699,52
243,0.643154,52
244,0.641378,53
245,0.640900,55
246,0.641691,55
247,0.641935,55
248,0.641555,58
249,0.641403,60
250,0.641807,64
251,0.642100,66
252,0.642387,69
253,0.641439,76
254,0.639606,94
255,0.637984,112
256,0.638251,128
