length_lines,fve,n_samples_at_full
1,0.204626,0
2,0.355386,0
3,0.406972,0
4,0.441249,0
5,0.453220,0
6,0.468394,0
7,0.471966,0
8,0.480436,0
9,0.479767,0
10,0.442354,125
11,0.440558,128
