length_lines,fve,n_samples_at_full
1,0.368933,0
2,0.566035,0
3,0.618383,0
4,0.642243,0
5,0.653370,0
6,0.666098,0
7,0.673376,0
8,0.677774,0
9,0.679019,0
10,0.684609,29
11,0.685744,32
12,0.688003,32
13,0.688606,34
14,0.688465,57
15,0.688092,60
16,0.685798,62
17,0.685873,65
18,0.685794,94
19,0.685661,96
20,0.685610,100
