length_lines,fve,n_samples_at_full
1,0.040168,0
2,0.246303,0
3,0.317233,1
4,0.370731,1
5,0.394699,1
6,0.412630,2
7,0.433741,2
8,0.445899,2
9,0.455502,2
10,0.461432,100
