length_lines,fve,n_samples_at_full
1,0.517011,0
2,0.597370,0
3,0.633109,0
4,0.649994,0
5,0.659758,0
6,0.660725,0
7,0.661381,0
8,0.662337,0
9,0.664423,0
10,0.663347,66
11,0.663178,125
12,0.663187,128
