length_lines,fve,n_samples_at_full
1,0.348788,0
2,0.484365,0
3,0.569871,0
4,0.592923,0
5,0.610451,0
6,0.621124,0
7,0.631643,0
8,0.635010,0
9,0.634467,0
10,0.621825,86
11,0.621357,95
12,0.621314,95
13,0.620827,95
14,0.621006,96
15,0.620601,96
16,0.620645,96
17,0.620695,96
18,0.620634,99
19,0.620687,100
