length_lines,fve,n_samples_at_full
1,0.173841,0
2,0.327282,0
3,0.387866,1
4,0.419596,1
5,0.437048,1
6,0.444497,1
7,0.456877,1
8,0.463503,1
9,0.463278,1
10,0.431071,100
