length_tokens,fve,n_samples_at_full
1,-0.441110,0
2,-0.140150,0
3,-0.015797,0
4,0.048826,0
5,0.089497,0
6,0.154925,0
7,0.208926,0
8,0.265554,0
9,0.322880,0
10,0.377431,0
11,0.423305,0
12,0.457648,0
13,0.479464,0
14,0.494262,0
15,0.508386,0
16,0.527543,0
17,0.543373,0
18,0.555101,0
19,0.564036,0
20,0.567880,0
21,0.575828,0
22,0.580284,0
23,0.587854,0
24,0.592816,0
25,0.596437,0
26,0.602475,0
27,0.605571,0
28,0.607102,0
29,0.609860,0
30,0.613256,0
31,0.618195,0
32,0.619990,0
33,0.622040,0
34,0.626191,0
35,0.627160,0
36,0.629699,0
37,0.631237,0
38,0.635352,0
39,0.637757,0
40,0.639055,0
41,0.640376,0
42,0.643028,0
43,0.644255,0
44,0.645440,0
45,0.645914,0
46,0.647378,0
47,0.649517,0
48,0.650147,0
49,0.650706,0
50,0.651919,0
51,0.653444,0
52,0.654814,0
53,0.655710,0
54,0.657236,0
55,0.657304,0
56,0.657950,0
57,0.658196,0
58,0.658467,0
59,0.658850,0
60,0.658996,0
61,0.658932,0
62,0.658542,0
63,0.659570,0
64,0.659336,0
65,0.660782,0
66,0.661036,0
67,0.660792,0
68,0.660735,0
69,0.661032,0
70,0.660612,0
71,0.660599,0
72,0.660990,0
73,0.660632,0
74,0.661114,0
75,0.661497,0
76,0.662127,0
77,0.662040,0
78,0.662343,0
79,0.662577,0
80,0.660955,0
81,0.661321,0
82,0.660860,0
83,0.660987,0
84,0.661484,0
85,0.661052,0
86,0.660818,0
87,0.660399,0
88,0.661250,0
89,0.662657,1
90,0.663394,1
91,0.663570,2
92,0.664541,3
93,0.664955,3
94,0.665032,7
95,0.664890,9
96,0.664429,12
97,0.664300,12
98,0.663928,15
99,0.663685,19
100,0.663382,22
101,0.663494,26
102,0.663418,30
103,0.663484,31
104,0.663188,36
105,0.663530,43
106,0.664495,51
107,0.664408,55
108,0.664599,63
109,0.664270,67
110,0.664275,74
111,0.663898,76
112,0.663742,82
113,0.663269,90
114,0.663699,93
115,0.663647,100
116,0.663699,105
117,0.663495,107
118,0.663413,113
119,0.663466,117
120,0.663569,121
121,0.663644,124
122,0.663639,124
123,0.663498,124
124,0.663506,125
125,0.663382,125
126,0.663402,125
127,0.663413,125
128,0.663285,125
129,0.663294,125
130,0.663273,125
131,0.663323,125
132,0.663377,126
133,0.663506,126
134,0.663401,126
135,0.663381,127
136,0.663397,127
137,0.663463,127
138,0.663486,127
139,0.663430,127
140,0.663345,127
141,0.663317,127
142,0.663209,127
143,0.663187,128
