length_lines,fve,n_samples_at_full
1,0.345992,1
2,0.554899,1
3,0.606653,1
4,0.628183,1
5,0.642863,1
6,0.653479,1
7,0.660006,1
8,0.660872,1
9,0.664090,2
10,0.658066,66
11,0.657544,67
12,0.654367,68
13,0.651335,68
14,0.654566,75
15,0.655105,75
16,0.654167,77
17,0.653984,83
18,0.654031,96
19,0.653851,99
20,0.653794,99
21,0.653405,99
22,0.653192,99
23,0.653452,99
24,0.653402,99
25,0.653370,100
