length_tokens,fve,n_samples_at_full
1,-0.468332,0
2,-0.163741,0
3,-0.011942,0
4,0.053886,0
5,0.105950,0
6,0.165741,0
7,0.206336,0
8,0.282596,0
9,0.351419,0
10,0.404873,0
11,0.444812,0
12,0.486519,0
13,0.513799,0
14,0.528031,0
15,0.542851,0
16,0.558185,0
17,0.570291,0
18,0.576876,0
19,0.584393,0
20,0.588895,0
21,0.591461,0
22,0.598488,0
23,0.604264,0
24,0.610096,0
25,0.613533,0
26,0.618160,0
27,0.621788,0
28,0.624061,0
29,0.629566,0
30,0.633743,0
31,0.638625,0
32,0.643049,0
33,0.643993,0
34,0.647191,0
35,0.649005,0
36,0.651205,0
37,0.652231,0
38,0.653538,0
39,0.653450,0
40,0.653600,0
41,0.654410,0
42,0.654117,0
43,0.654961,0
44,0.658080,0
45,0.659113,0
46,0.659157,0
47,0.660722,0
48,0.661129,0
49,0.662299,0
50,0.662677,0
51,0.662508,0
52,0.662741,0
53,0.664200,0
54,0.664892,0
55,0.664817,0
56,0.666066,0
57,0.666156,0
58,0.666296,0
59,0.666677,0
60,0.666526,0
61,0.666927,0
62,0.667981,0
63,0.668020,0
64,0.668036,0
65,0.668242,0
66,0.668435,0
67,0.669157,0
68,0.669362,0
69,0.669630,0
70,0.670132,0
71,0.671139,0
72,0.670881,0
73,0.670981,0
74,0.670544,0
75,0.670881,0
76,0.671887,0
77,0.672345,0
78,0.673302,0
79,0.673867,0
80,0.674280,0
81,0.673589,0
82,0.673343,0
83,0.673596,0
84,0.674678,0
85,0.673678,0
86,0.673442,0
87,0.672899,0
88,0.672786,0
89,0.673827,0
90,0.674666,0
91,0.674342,0
92,0.674205,0
93,0.674898,0
94,0.675679,0
95,0.675659,1
96,0.675651,1
97,0.675329,1
98,0.675206,2
99,0.675605,3
100,0.675350,3
101,0.675479,4
102,0.675983,5
103,0.675923,6
104,0.675779,7
105,0.675425,7
106,0.675164,9
107,0.675765,13
108,0.675792,14
109,0.676141,17
110,0.675895,24
111,0.676024,30
112,0.676061,38
113,0.676133,42
114,0.676053,49
115,0.675899,54
116,0.675523,60
117,0.675161,65
118,0.675221,67
119,0.675150,72
120,0.675204,73
121,0.675031,75
122,0.674764,79
123,0.674616,85
124,0.674181,88
125,0.674435,92
126,0.674902,98
127,0.675537,98
128,0.675406,103
129,0.675385,105
130,0.675370,106
131,0.675254,107
132,0.674969,108
133,0.675238,112
134,0.675436,113
135,0.675633,113
136,0.675573,113
137,0.675541,113
138,0.675397,114
139,0.675382,115
140,0.675393,116
141,0.675265,116
142,0.675107,116
143,0.675009,116
144,0.674997,117
145,0.674986,118
146,0.675024,119
147,0.675064,120
148,0.675111,120
149,0.675027,120
150,0.675126,120
151,0.675056,121
152,0.675000,121
153,0.675062,121
154,0.675033,121
155,0.674853,121
156,0.674815,121
157,0.674897,121
158,0.674832,121
159,0.674909,121
160,0.674929,121
161,0.674878,121
162,0.674879,121
163,0.675186,121
164,0.675017,121
165,0.674998,121
166,0.675059,121
167,0.675034,121
168,0.674958,121
169,0.674924,121
170,0.674865,121
171,0.674869,121
172,0.674862,121
173,0.674852,121
174,0.674834,121
175,0.674879,121
176,0.674852,121
177,0.674803,121
178,0.674683,121
179,0.674604,121
180,0.674640,121
181,0.674593,121
182,0.674556,121
183,0.674534,121
184,0.674441,121
185,0.674375,121
186,0.674385,121
187,0.674390,121
188,0.674316,121
189,0.674320,121
190,0.676146,121
191,0.674543,121
192,0.674433,121
193,0.674411,121
194,0.674434,122
195,0.674507,122
196,0.674532,122
197,0.674576,122
198,0.674547,122
199,0.674530,122
200,0.674535,123
201,0.674529,123
202,0.674511,123
203,0.674579,123
204,0.674583,123
205,0.674641,123
206,0.674786,123
207,0.674861,123
208,0.674794,123
209,0.674719,123
210,0.674642,124
211,0.674542,125
212,0.674542,125
213,0.674585,125
214,0.674546,125
215,0.674537,125
216,0.674464,125
217,0.674319,125
218,0.674264,125
219,0.674289,125
220,0.674298,125
221,0.674356,125
222,0.674370,125
223,0.674365,125
224,0.674358,125
225,0.674227,125
226,0.674233,125
227,0.674194,126
228,0.674197,126
229,0.674158,126
230,0.674209,126
231,0.674273,126
232,0.674260,127
233,0.674268,127
234,0.674296,127
235,0.674310,127
236,0.674321,127
237,0.674325,127
238,0.674338,127
239,0.674360,127
240,0.674402,127
241,0.674422,127
242,0.674421,127
243,0.674406,127
244,0.674384,127
245,0.674408,127
246,0.674444,127
247,0.674458,127
248,0.674481,127
249,0.674471,127
250,0.674475,127
251,0.674411,127
252,0.674388,127
253,0.674388,127
254,0.674461,127
255,0.674431,128
