length_lines,fve,n_samples_at_full
1,0.432756,0
2,0.567398,0
3,0.657149,0
4,0.675818,0
5,0.687200,0
6,0.694724,0
7,0.696355,0
8,0.700537,0
9,0.704017,0
10,0.704786,94
11,0.704858,98
12,0.704940,98
13,0.705255,98
14,0.705092,100
