length_tokens,fve,n_samples_at_full
1,-0.319743,0
2,-0.069065,0
3,0.050798,0
4,0.136047,0
5,0.217871,0
6,0.283385,0
7,0.338533,0
8,0.370829,0
9,0.396188,0
10,0.410472,0
11,0.443535,0
12,0.460829,0
13,0.485819,0
14,0.501496,0
15,0.515845,0
16,0.523788,0
17,0.538315,0
18,0.542941,0
19,0.555019,0
20,0.560439,0
21,0.566085,0
22,0.573972,0
23,0.578787,0
24,0.585799,0
25,0.592437,0
26,0.597632,0
27,0.599132,0
28,0.602913,0
29,0.607341,0
30,0.611274,0
31,0.615704,0
32,0.616678,0
33,0.620767,0
34,0.621993,0
35,0.623327,0
36,0.626829,0
37,0.630360,0
38,0.633113,0
39,0.635931,0
40,0.636388,0
41,0.635460,0
42,0.636439,0
43,0.637617,0
44,0.639237,0
45,0.640517,0
46,0.641941,0
47,0.643904,0
48,0.644991,0
49,0.646725,0
50,0.646999,0
51,0.647874,0
52,0.648454,0
53,0.649033,0
54,0.651069,0
55,0.652183,0
56,0.652205,0
57,0.653021,0
58,0.653118,0
59,0.654272,0
60,0.654746,0
61,0.656741,0
62,0.657636,0
63,0.658182,0
64,0.658897,0
65,0.659140,0
66,0.658625,0
67,0.661152,0
68,0.661675,0
69,0.662256,0
70,0.662995,0
71,0.663733,0
72,0.663914,0
73,0.664714,0
74,0.664888,0
75,0.665931,0
76,0.666033,0
77,0.665914,0
78,0.666502,0
79,0.666168,0
80,0.666945,0
81,0.668287,0
82,0.669445,0
83,0.670600,0
84,0.671444,0
85,0.672298,0
86,0.672568,0
87,0.673591,0
88,0.674091,0
89,0.675326,0
90,0.675375,0
91,0.675583,0
92,0.675975,0
93,0.676593,0
94,0.677160,0
95,0.677401,0
96,0.676864,0
97,0.675887,0
98,0.676252,0
99,0.676897,0
100,0.677598,0
101,0.678618,0
102,0.679346,0
103,0.679183,0
104,0.678752,0
105,0.678790,0
106,0.678754,0
107,0.679275,0
108,0.680030,1
109,0.679976,2
110,0.679940,3
111,0.679749,3
112,0.679736,5
113,0.679579,5
114,0.679719,6
115,0.679827,6
116,0.679287,7
117,0.679365,8
118,0.679215,8
119,0.679358,9
120,0.680546,11
121,0.681261,11
122,0.681596,13
123,0.682038,13
124,0.682177,14
125,0.682071,15
126,0.682345,17
127,0.682702,17
128,0.682543,19
129,0.682506,19
130,0.682700,20
131,0.682675,21
132,0.683366,21
133,0.683545,21
134,0.683758,24
135,0.683467,24
136,0.683229,24
137,0.683440,25
138,0.683433,25
139,0.683386,26
140,0.683373,26
141,0.682938,26
142,0.683066,26
143,0.683073,26
144,0.683400,26
145,0.683915,26
146,0.684078,29
147,0.684112,29
148,0.684407,29
149,0.684678,29
150,0.684765,29
151,0.684880,29
152,0.685389,29
153,0.685270,29
154,0.685152,29
155,0.685577,29
156,0.685493,29
157,0.685286,29
158,0.685835,29
159,0.685909,30
160,0.686323,30
161,0.686658,30
162,0.686918,31
163,0.687189,31
164,0.687432,31
165,0.687483,32
166,0.687527,33
167,0.687753,33
168,0.687640,34
169,0.687740,34
170,0.688071,34
171,0.688524,35
172,0.688056,35
173,0.688344,36
174,0.688529,36
175,0.688790,36
176,0.689146,36
177,0.688991,36
178,0.688795,37
179,0.688982,37
180,0.687772,38
181,0.687767,40
182,0.687615,40
183,0.687847,42
184,0.687774,42
185,0.687474,42
186,0.687432,42
187,0.687099,42
188,0.687069,43
189,0.687070,44
190,0.687308,45
191,0.687080,46
192,0.686997,48
193,0.687145,48
194,0.687038,48
195,0.687351,49
196,0.687350,49
197,0.687300,51
198,0.687237,52
199,0.687197,53
200,0.686903,53
201,0.686755,53
202,0.686588,53
203,0.686624,55
204,0.686871,55
205,0.686893,55
206,0.686907,56
207,0.686917,56
208,0.687078,58
209,0.687134,59
210,0.686958,59
211,0.687064,59
212,0.687205,60
213,0.687441,61
214,0.687293,62
215,0.687139,65
216,0.686897,67
217,0.687297,67
218,0.686967,67
219,0.686857,67
220,0.686502,68
221,0.686354,68
222,0.686228,68
223,0.686136,68
224,0.686086,68
225,0.686232,69
226,0.686084,69
227,0.685901,69
228,0.685626,70
229,0.685529,70
230,0.685869,70
231,0.685874,70
232,0.685850,70
233,0.686067,71
234,0.686048,72
235,0.686008,72
236,0.685795,72
237,0.685898,73
238,0.685760,73
239,0.685786,74
240,0.685865,74
241,0.685976,76
242,0.685741,76
243,0.685674,77
244,0.685664,77
245,0.685631,77
246,0.685727,78
247,0.685752,80
248,0.685526,82
249,0.685609,85
250,0.685579,86
251,0.685768,86
252,0.685794,89
253,0.685715,91
254,0.685764,96
255,0.685683,99
256,0.685610,100
