length_lines,fve,n_samples_at_full
1,0.351605,0
2,0.524788,0
3,0.604867,0
4,0.634241,0
5,0.651165,0
6,0.660420,0
7,0.667814,0
8,0.674118,0
9,0.677653,0
10,0.652517,35
11,0.651399,47
12,0.651952,48
13,0.652762,48
14,0.651372,69
15,0.649994,71
16,0.649466,72
17,0.649147,72
18,0.648232,85
19,0.648174,92
20,0.648073,93
21,0.647886,93
22,0.647796,96
23,0.647903,99
24,0.647918,99
25,0.647828,99
26,0.648256,100
