length_lines,fve,n_samples_at_full
1,0.508182,0
2,0.594306,0
3,0.621312,0
4,0.634790,0
5,0.643315,0
6,0.649895,0
7,0.651853,0
8,0.653841,0
9,0.656408,4
10,0.657891,17
11,0.659400,46
12,0.659985,58
13,0.660509,66
14,0.660963,79
15,0.660338,86
16,0.660081,92
17,0.660083,96
18,0.660067,96
19,0.660171,98
20,0.660188,100
