length_lines,fve,n_samples_at_full
1,0.470904,100
2,0.558472,99
3,0.598510,99
4,0.613993,99
5,0.630170,99
6,0.644829,99
7,0.652297,99
8,0.654273,99
9,0.661899,99
10,0.659595,98
11,0.668204,81
12,0.661475,53
13,0.661934,38
14,0.661893,28
15,0.661984,22
16,0.661919,12
17,0.661872,9
18,0.661915,3
19,0.662079,2
20,0.662043,2
