arm,side,L,fve
ws,suffix,74,-0.150873
ws,suffix,75,-0.145448
ws,suffix,76,-0.144292
ws,suffix,77,-0.135803
ws,suffix,78,-0.140385
ws,suffix,79,-0.126850
ws,suffix,80,-0.122824
ws,suffix,81,-0.113176
ws,suffix,82,-0.116455
ws,suffix,83,-0.120872
ws,suffix,84,-0.106138
ws,suffix,85,-0.107666
ws,suffix,86,-0.098902
ws,suffix,87,-0.097433
ws,suffix,88,-0.096817
ws,suffix,89,-0.094476
ws,suffix,90,-0.097868
ws,suffix,91,-0.083919
ws,suffix,92,-0.079020
ws,suffix,93,-0.085493
ws,suffix,94,-0.080703
ws,suffix,95,-0.072363
ws,suffix,96,-0.077215
ws,suffix,97,-0.072022
ws,suffix,98,-0.060052
ws,suffix,99,-0.062539
ws,suffix,100,-0.070450
ws,suffix,101,-0.054151
ws,suffix,102,-0.020622
ws,suffix,103,-0.019235
ws,suffix,104,0.000307
ws,suffix,105,0.005282
ws,suffix,106,0.021410
ws,suffix,107,0.014335
ws,suffix,108,0.029573
ws,suffix,109,0.054039
ws,suffix,110,0.071075
ws,suffix,111,0.074344
ws,suffix,112,0.078423
ws,suffix,113,0.095303
ws,suffix,114,0.098679
ws,suffix,115,0.096057
ws,suffix,116,0.103541
ws,suffix,117,0.183045
ws,suffix,118,0.254716
ws,suffix,119,0.314194
ws,suffix,120,0.355631
it50,prefix,1,-0.330830
it50,prefix,2,-0.284197
it50,prefix,3,-0.262799
it50,prefix,4,-0.070544
it50,prefix,5,0.026807
it50,prefix,6,0.065978
it50,prefix,7,0.075644
it50,prefix,8,0.089300
it50,prefix,9,0.110194
it50,prefix,10,0.121457
it50,prefix,11,0.145907
it50,prefix,12,0.174520
it50,prefix,13,0.214419
it50,prefix,14,0.242694
it50,prefix,15,0.267416
it50,prefix,16,0.288405
it50,prefix,17,0.302954
it50,prefix,18,0.320975
it50,prefix,19,0.332973
it50,prefix,20,0.342550
it50,prefix,21,0.359168
it50,prefix,22,0.367198
it50,prefix,23,0.375583
it50,prefix,24,0.386192
it50,prefix,25,0.402024
it50,prefix,26,0.405900
it50,prefix,27,0.418317
it50,prefix,28,0.428014
it50,prefix,29,0.441259
it50,prefix,30,0.449120
it50,prefix,31,0.459435
it50,prefix,32,0.467302
it50,prefix,33,0.480211
it50,prefix,34,0.484747
it50,prefix,35,0.500483
it50,prefix,36,0.505044
it50,prefix,37,0.508316
it50,prefix,38,0.510880
it50,prefix,39,0.515062
it50,prefix,40,0.522975
it50,prefix,41,0.531272
it50,prefix,42,0.537474
it50,prefix,43,0.540149
it50,prefix,44,0.544245
it50,prefix,45,0.547469
it50,prefix,46,0.551523
it50,prefix,47,0.551895
it50,prefix,48,0.556028
it50,prefix,49,0.553816
it50,prefix,50,0.555263
it50,prefix,51,0.553812
it50,prefix,52,0.556497
it50,prefix,53,0.559962
it50,prefix,54,0.558022
it50,prefix,55,0.562825
it50,prefix,56,0.563867
it50,prefix,57,0.570990
it50,prefix,58,0.568736
it50,prefix,59,0.565251
it50,prefix,60,0.572097
it50,prefix,61,0.576897
it50,prefix,62,0.579494
it50,prefix,63,0.580331
it50,prefix,64,0.578031
it50,prefix,65,0.579581
it50,prefix,66,0.580888
it50,prefix,67,0.583381
it50,prefix,68,0.584851
it50,prefix,69,0.583975
it50,prefix,70,0.582669
it50,prefix,71,0.582407
it50,prefix,72,0.580305
it50,prefix,73,0.582328
it50,prefix,74,0.584488
it50,prefix,75,0.590508
it50,prefix,76,0.594134
it50,prefix,77,0.593753
it50,prefix,78,0.594209
it50,prefix,79,0.595030
it50,prefix,80,0.596889
it50,prefix,81,0.594253
it50,prefix,82,0.593451
it50,prefix,83,0.594115
it50,prefix,84,0.594628
it50,prefix,85,0.596708
it50,prefix,86,0.599192
it50,prefix,87,0.600914
it50,prefix,88,0.603561
it50,prefix,89,0.604530
it50,prefix,90,0.602794
it50,prefix,91,0.603190
it50,prefix,92,0.603820
it50,prefix,93,0.605131
it50,prefix,94,0.607256
it50,prefix,95,0.606500
it50,prefix,96,0.606480
it50,prefix,97,0.606713
it50,prefix,98,0.609398
it50,prefix,99,0.608652
it50,prefix,100,0.609554
it50,prefix,101,0.609821
it50,prefix,102,0.610569
it50,prefix,103,0.610799
it50,prefix,104,0.611791
it50,prefix,105,0.611884
it50,prefix,106,0.612860
it50,prefix,107,0.613081
it50,prefix,108,0.611703
it50,prefix,109,0.611051
it50,prefix,110,0.611685
it50,prefix,111,0.612857
it50,prefix,112,0.613541
it50,prefix,113,0.613255
it50,prefix,114,0.614225
it50,prefix,115,0.614010
it50,prefix,116,0.614394
it50,prefix,117,0.614732
it50,prefix,118,0.615348
it50,prefix,119,0.617716
it50,prefix,120,0.618698
it50,suffix,1,-0.305997
it50,suffix,2,-0.269429
it50,suffix,3,-0.224237
it50,suffix,4,-0.190519
