step,mean_response_len_tokens,fve_nrm,kl_loss
0,144.0,0.6943307518959045,0.0
1,142.5,0.7059341669082642,0.16273927688598633
2,139.6,0.699062705039978,0.42259418964385986
3,134.8,0.767645001411438,0.6858586072921753
4,129.6,0.7378183007240295,0.9624752998352051
5,119.2,0.7543537805950831,1.2469117641448975
6,115.4,0.6820538233196924,1.2388620376586914
7,112.2,0.7583728366427951,1.3217169046401978
8,104.0,0.6410248875617981,1.3947727680206299
9,99.8,0.6988828182220459,1.4855856895446777
10,91.0,0.6812642812728882,1.622786045074463
11,87.0,0.6720569133758545,1.7672581672668457
12,79.0,0.6359456181526184,2.0664844512939453
13,72.1,0.6009421348571777,2.1578760147094727
14,65.1,0.5295478701591492,2.5702743530273438
15,63.9,0.559194028377533,2.6097259521484375
16,62.2,0.5666486620903015,2.784013271331787
17,63.3,0.6479901075363159,2.8371124267578125
18,62.6,0.6245841979980469,2.9619674682617188
19,60.3,0.6128575801849365,3.1029186248779297
20,62.0,0.6916031837463379,3.0381836891174316
21,62.1,0.5908315777778625,3.239154100418091
22,61.8,0.6648143529891968,3.2850027084350586
23,61.3,0.5915862917900085,3.378535270690918
24,63.4,0.6740579009056091,3.3139028549194336
25,63.0,0.5826137065887451,3.468043327331543
26,62.8,0.5699878931045532,3.298973798751831
27,61.9,0.6661561131477356,3.369049549102783
28,61.7,0.6183417439460754,3.4966225624084473
29,60.3,0.5806398987770081,3.4508883953094482
30,59.8,0.592420756816864,3.5473625659942627
31,55.6,0.6521285772323608,3.994218587875366
32,54.9,0.693239688873291,3.7007312774658203
33,52.4,0.6712892055511475,4.008132457733154
34,52.5,0.6647096872329712,4.027767658233643
