length_lines,fve,n_samples_at_full
1,0.334266,0
2,0.523538,0
3,0.606006,0
4,0.635171,0
5,0.653945,0
6,0.663514,0
7,0.669195,0
8,0.673816,0
9,0.676368,0
10,0.627888,40
11,0.608834,56
12,0.608216,57
13,0.607702,59
14,0.598074,68
15,0.596799,74
16,0.597861,75
17,0.597400,77
18,0.596408,90
19,0.590251,94
20,0.590614,99
21,0.590314,99
22,0.590242,100
