length_tokens,fve,n_samples_at_full
1,-0.310329,0
2,-0.008928,0
3,0.058098,0
4,0.191877,0
5,0.267858,0
6,0.314158,0
7,0.355606,0
8,0.388115,0
9,0.417702,0
10,0.442591,0
11,0.470390,0
12,0.485891,0
13,0.503182,0
14,0.520368,0
15,0.530327,0
16,0.543250,0
17,0.553612,0
18,0.559205,0
19,0.572902,0
20,0.581848,0
21,0.591993,0
22,0.592590,0
23,0.602481,0
24,0.605487,0
25,0.610176,0
26,0.613331,0
27,0.613531,0
28,0.619317,0
29,0.622601,0
30,0.625431,0
31,0.627778,0
32,0.629820,0
33,0.632361,0
34,0.633769,0
35,0.635832,0
36,0.638587,0
37,0.640292,0
38,0.641853,0
39,0.643459,0
40,0.644728,0
41,0.646124,0
42,0.647239,0
43,0.648800,0
44,0.650263,0
45,0.651440,0
46,0.652672,0
47,0.654584,0
48,0.654241,0
49,0.655770,0
50,0.656935,0
51,0.658936,0
52,0.659857,0
53,0.660131,0
54,0.660440,0
55,0.660411,0
56,0.661531,0
57,0.663766,0
58,0.664383,0
59,0.663953,0
60,0.664769,0
61,0.665208,0
62,0.665135,0
63,0.665742,0
64,0.667988,0
65,0.668079,0
66,0.668317,0
67,0.668140,0
68,0.668984,0
69,0.669770,0
70,0.670609,0
71,0.670087,0
72,0.670644,0
73,0.671385,0
74,0.671034,0
75,0.672011,0
76,0.672295,0
77,0.673190,0
78,0.673593,0
79,0.674469,0
80,0.674463,0
81,0.675213,0
82,0.675273,0
83,0.676350,0
84,0.676299,0
85,0.676607,1
86,0.677116,1
87,0.677592,1
88,0.677524,1
89,0.677854,1
90,0.678527,1
91,0.679418,1
92,0.679158,1
93,0.678654,1
94,0.678461,2
95,0.678212,2
96,0.678437,4
97,0.678340,5
98,0.678563,6
99,0.678401,7
100,0.678001,9
101,0.678518,11
102,0.678488,11
103,0.678770,11
104,0.678684,11
105,0.678919,16
106,0.679026,17
107,0.678802,18
108,0.679139,22
109,0.679255,22
110,0.679587,23
111,0.679440,23
112,0.679194,24
113,0.679046,24
114,0.678932,24
115,0.679019,26
116,0.679011,26
117,0.678902,26
118,0.679017,26
119,0.679017,26
120,0.678858,26
121,0.678969,27
122,0.679053,27
123,0.678608,28
124,0.678438,29
125,0.678473,29
126,0.678335,29
127,0.678159,29
128,0.678192,29
129,0.678152,30
130,0.678164,30
131,0.677815,30
132,0.677394,30
133,0.676986,30
134,0.676975,30
135,0.676772,30
136,0.676813,30
137,0.676519,32
138,0.676195,32
139,0.675709,32
140,0.675527,32
141,0.675309,32
142,0.675534,32
143,0.674491,32
144,0.674009,32
145,0.673931,33
146,0.673571,33
147,0.673188,33
148,0.672285,33
149,0.671862,33
150,0.671473,34
151,0.671239,34
152,0.671058,34
153,0.670529,34
154,0.669979,34
155,0.669735,34
156,0.668942,34
157,0.668915,34
158,0.668526,34
159,0.668550,34
160,0.668009,34
161,0.667776,34
162,0.666879,34
163,0.665800,34
164,0.665274,34
165,0.665521,34
166,0.665536,35
167,0.665171,36
168,0.664121,36
169,0.663806,36
170,0.663535,36
171,0.662664,36
172,0.662482,36
173,0.662214,36
174,0.661855,36
175,0.661901,36
176,0.661236,36
177,0.661024,36
178,0.660379,36
179,0.659360,36
180,0.659205,36
181,0.658996,36
182,0.658659,36
183,0.658653,36
184,0.657834,36
185,0.658045,36
186,0.657867,36
187,0.657276,37
188,0.656680,37
189,0.655063,38
190,0.655256,38
191,0.649674,38
192,0.648234,38
193,0.646618,38
194,0.646710,38
195,0.645218,38
196,0.644142,38
197,0.643480,38
198,0.641920,38
199,0.640406,38
200,0.639742,38
201,0.638813,38
202,0.637987,38
203,0.637507,38
204,0.635772,38
205,0.634340,38
206,0.632483,38
207,0.632431,38
208,0.630191,38
209,0.629141,38
210,0.626179,38
211,0.626794,38
212,0.624449,38
213,0.622900,39
214,0.622063,40
215,0.620348,40
216,0.618915,40
217,0.617252,40
218,0.615922,40
219,0.615191,40
220,0.614174,40
221,0.613851,41
222,0.612752,41
223,0.611022,42
224,0.610943,42
225,0.609395,42
226,0.609212,42
227,0.609053,42
228,0.609065,42
229,0.608022,42
230,0.608596,43
231,0.607617,43
232,0.607315,43
233,0.606359,43
234,0.606126,43
235,0.605035,43
236,0.603028,43
237,0.602105,43
238,0.601870,43
239,0.601586,43
240,0.601188,43
241,0.601011,43
242,0.600020,43
243,0.599244,43
244,0.597929,43
245,0.598155,43
246,0.596992,43
247,0.597091,43
248,0.596063,43
249,0.593906,43
250,0.592285,45
251,0.591838,47
252,0.592313,49
253,0.591955,55
254,0.591256,67
255,0.590702,83
256,0.590669,96
257,0.590557,98
258,0.590430,99
259,0.590242,100
