length_tokens,fve,n_samples_at_full
1,-0.332200,0
2,-0.122107,0
3,0.003844,0
4,0.088169,0
5,0.159328,0
6,0.221542,0
7,0.290546,0
8,0.325779,0
9,0.349581,0
10,0.368176,0
11,0.391673,0
12,0.414586,0
13,0.433078,0
14,0.447482,0
15,0.460044,0
16,0.469921,0
17,0.478670,0
18,0.486626,0
19,0.494024,0
20,0.502448,0
21,0.513625,0
22,0.524886,0
23,0.530668,0
24,0.538503,0
25,0.546079,0
26,0.552874,0
27,0.555828,0
28,0.558869,0
29,0.560970,0
30,0.564470,0
31,0.568061,0
32,0.574479,0
33,0.577702,0
34,0.580090,0
35,0.582302,0
36,0.583941,0
37,0.586531,0
38,0.588234,0
39,0.590798,0
40,0.592115,0
41,0.594590,0
42,0.598662,0
43,0.601998,0
44,0.603190,0
45,0.604567,0
46,0.606436,0
47,0.607858,0
48,0.608768,0
49,0.610117,0
50,0.611461,0
51,0.613400,0
52,0.614980,0
53,0.614855,0
54,0.615353,0
55,0.616068,0
56,0.615833,0
57,0.616541,0
58,0.618574,0
59,0.618995,0
60,0.620800,0
61,0.621008,0
62,0.622253,0
63,0.622692,0
64,0.622618,0
65,0.622862,0
66,0.623215,0
67,0.624004,0
68,0.625864,0
69,0.626802,0
70,0.628256,0
71,0.628635,0
72,0.629550,0
73,0.629960,0
74,0.631264,0
75,0.631287,0
76,0.631196,0
77,0.631170,0
78,0.631076,0
79,0.631195,0
80,0.631515,0
81,0.631652,0
82,0.632885,0
83,0.632539,0
84,0.632410,0
85,0.632391,0
86,0.632519,0
87,0.632717,0
88,0.632494,0
89,0.631952,0
90,0.632647,0
91,0.632682,0
92,0.632637,0
93,0.632749,0
94,0.632456,0
95,0.632466,0
96,0.631756,0
97,0.631051,1
98,0.631977,1
99,0.632023,1
100,0.631733,1
101,0.631179,1
102,0.631906,1
103,0.632122,1
104,0.631809,1
105,0.632637,1
106,0.633222,3
107,0.633201,4
108,0.632892,4
109,0.632811,5
110,0.632406,8
111,0.631954,8
112,0.631590,10
113,0.631341,12
114,0.631422,13
115,0.631367,14
116,0.630740,18
117,0.630540,19
118,0.631087,20
119,0.631239,23
120,0.631277,24
121,0.631328,27
122,0.631346,28
123,0.631914,31
124,0.632273,34
125,0.632706,38
126,0.633174,38
127,0.632973,41
128,0.633011,44
129,0.633056,46
130,0.633052,49
131,0.633035,51
132,0.632717,54
133,0.632667,54
134,0.632249,55
135,0.631846,55
136,0.631989,60
137,0.632291,63
138,0.632284,65
139,0.632252,66
140,0.632221,66
141,0.632098,66
142,0.631985,67
143,0.631978,68
144,0.631832,69
145,0.631634,69
146,0.631314,69
147,0.631246,69
148,0.630832,69
149,0.630911,69
150,0.631038,69
151,0.630927,69
152,0.631262,69
153,0.631450,69
154,0.631609,69
155,0.631346,69
156,0.631559,69
157,0.631464,69
158,0.631310,69
159,0.631222,69
160,0.631375,69
161,0.631062,69
162,0.630667,69
163,0.630301,69
164,0.630084,69
165,0.629976,70
166,0.629120,70
167,0.628619,70
168,0.627837,70
169,0.628337,70
170,0.628550,70
171,0.628153,70
172,0.627511,70
173,0.627088,70
174,0.627388,72
175,0.627342,73
176,0.627139,73
177,0.626970,73
178,0.626780,73
179,0.626201,73
180,0.625778,73
181,0.626003,73
182,0.626020,73
183,0.626180,73
184,0.626165,73
185,0.625995,73
186,0.626053,73
187,0.626019,73
188,0.625634,73
189,0.625328,73
190,0.624625,73
191,0.624275,73
192,0.624056,73
193,0.624234,73
194,0.623852,73
195,0.623450,73
196,0.623326,73
197,0.622561,73
198,0.622397,73
199,0.622166,73
200,0.621874,73
201,0.622057,73
202,0.622044,73
203,0.621938,73
204,0.621733,73
205,0.621721,73
206,0.621840,73
207,0.621518,73
208,0.621563,73
209,0.620880,73
210,0.620958,73
211,0.620994,74
212,0.620819,74
213,0.620400,74
214,0.619395,74
215,0.617529,74
216,0.617932,74
217,0.617722,74
218,0.617477,74
219,0.616885,74
220,0.616514,74
221,0.615796,74
222,0.615390,74
223,0.615139,74
224,0.614541,74
225,0.613172,74
226,0.613068,74
227,0.611993,74
228,0.611806,74
229,0.610874,74
230,0.612300,74
231,0.612342,74
232,0.612154,74
233,0.611965,74
234,0.611356,74
235,0.610279,74
236,0.609369,74
237,0.609183,74
238,0.608159,74
239,0.608555,74
240,0.608077,74
241,0.608193,74
242,0.608264,74
243,0.608133,74
244,0.607753,74
245,0.607612,74
246,0.607161,74
247,0.607389,74
248,0.607207,75
249,0.606504,75
250,0.606535,75
251,0.605582,75
252,0.605268,75
253,0.605051,76
254,0.604799,76
255,0.604367,85
256,0.603767,98
257,0.603802,99
258,0.603723,99
259,0.603949,99
260,0.604101,99
261,0.604071,99
262,0.604005,100
