length_lines,fve,n_samples_at_full
1,0.366986,0
2,0.498667,0
3,0.580172,0
4,0.606968,0
5,0.621313,0
6,0.626320,0
7,0.632441,0
8,0.633243,0
9,0.630614,0
10,0.607819,82
11,0.606418,89
12,0.603707,90
13,0.603750,90
14,0.603879,93
15,0.604546,94
16,0.604693,94
17,0.603387,95
18,0.603862,99
19,0.604005,100
