length_lines,fve,n_samples_at_full
1,0.367345,0
2,0.554852,0
3,0.613307,0
4,0.645851,0
5,0.659552,0
6,0.668123,0
7,0.673956,0
8,0.675383,0
9,0.677210,1
10,0.632785,69
11,0.628306,73
12,0.623392,75
13,0.618730,78
14,0.618339,85
15,0.617563,86
16,0.617629,87
17,0.617376,88
18,0.617513,98
19,0.617468,100
