length_tokens,fve,n_samples_at_full
1,-0.320357,0
2,-0.053656,0
3,0.063633,0
4,0.147032,0
5,0.227539,0
6,0.293545,0
7,0.347286,0
8,0.375492,0
9,0.393725,0
10,0.417130,0
11,0.446599,0
12,0.461662,0
13,0.481926,0
14,0.503611,0
15,0.519948,0
16,0.534688,0
17,0.544642,0
18,0.557445,0
19,0.563117,0
20,0.571006,0
21,0.577550,0
22,0.579874,0
23,0.583110,0
24,0.590974,0
25,0.595134,0
26,0.604802,0
27,0.610450,0
28,0.612269,0
29,0.615635,0
30,0.616635,0
31,0.619966,0
32,0.622802,0
33,0.624110,0
34,0.626332,0
35,0.628606,0
36,0.631018,0
37,0.634190,0
38,0.636461,0
39,0.636721,0
40,0.636661,0
41,0.637069,0
42,0.637683,0
43,0.638829,0
44,0.638759,0
45,0.639277,0
46,0.641436,0
47,0.642532,0
48,0.644152,0
49,0.644981,0
50,0.646292,0
51,0.647040,0
52,0.647603,0
53,0.648126,0
54,0.648922,0
55,0.650548,0
56,0.651295,0
57,0.652237,0
58,0.653276,0
59,0.655477,0
60,0.656792,0
61,0.657598,0
62,0.659412,0
63,0.660219,0
64,0.661705,0
65,0.661560,0
66,0.661686,0
67,0.662386,0
68,0.663460,0
69,0.663842,0
70,0.664165,0
71,0.664262,0
72,0.665121,0
73,0.664684,0
74,0.666106,0
75,0.666513,0
76,0.666467,0
77,0.666840,0
78,0.666754,0
79,0.667098,0
80,0.667549,0
81,0.668076,0
82,0.669209,0
83,0.669339,0
84,0.670365,0
85,0.670485,0
86,0.670561,0
87,0.670628,0
88,0.671122,0
89,0.670955,0
90,0.671103,0
91,0.670975,0
92,0.670867,0
93,0.671003,0
94,0.671297,0
95,0.671926,0
96,0.671612,0
97,0.670997,0
98,0.671152,0
99,0.672069,0
100,0.671876,0
101,0.672314,0
102,0.672400,0
103,0.672874,0
104,0.673729,0
105,0.674293,0
106,0.674830,0
107,0.675279,0
108,0.675273,1
109,0.675465,1
110,0.675407,2
111,0.675181,2
112,0.675111,2
113,0.674908,2
114,0.674415,3
115,0.674326,3
116,0.674566,3
117,0.674102,3
118,0.674760,4
119,0.674994,5
120,0.675652,5
121,0.675518,6
122,0.675709,6
123,0.675791,9
124,0.675753,11
125,0.676026,11
126,0.676120,12
127,0.676748,12
128,0.676635,15
129,0.676588,17
130,0.676377,19
131,0.676572,20
132,0.676716,21
133,0.677088,22
134,0.676904,26
135,0.676700,27
136,0.676517,27
137,0.676596,27
138,0.676433,28
139,0.676438,28
140,0.675940,28
141,0.675894,28
142,0.675300,28
143,0.674711,28
144,0.674570,30
145,0.674519,31
146,0.674202,32
147,0.674260,32
148,0.674191,32
149,0.674171,32
150,0.674051,32
151,0.674216,32
152,0.673644,32
153,0.673765,32
154,0.673597,32
155,0.673409,32
156,0.673248,33
157,0.672996,34
158,0.672371,35
159,0.672212,35
160,0.671540,35
161,0.671299,35
162,0.670866,36
163,0.670972,36
164,0.670331,36
165,0.669980,36
166,0.669498,36
167,0.669158,36
168,0.669103,36
169,0.669323,36
170,0.669075,37
171,0.668927,37
172,0.668773,37
173,0.668484,37
174,0.668563,37
175,0.668045,37
176,0.667601,37
177,0.667268,38
178,0.666776,38
179,0.665469,38
180,0.665348,38
181,0.665442,38
182,0.665188,38
183,0.664977,38
184,0.664864,38
185,0.664082,38
186,0.663569,38
187,0.662681,38
188,0.662958,38
189,0.662795,39
190,0.660449,40
191,0.660130,40
192,0.659917,41
193,0.657408,41
194,0.656444,41
195,0.656931,41
196,0.657044,41
197,0.656222,42
198,0.656047,42
199,0.655197,42
200,0.653519,42
201,0.652902,42
202,0.652220,42
203,0.651450,43
204,0.648919,43
205,0.645171,43
206,0.641038,43
207,0.637836,43
208,0.637472,43
209,0.637575,43
210,0.636536,43
211,0.636005,43
212,0.635326,43
213,0.633498,43
214,0.633139,43
215,0.632408,43
216,0.631397,43
217,0.631061,43
218,0.630931,43
219,0.630119,43
220,0.628838,43
221,0.627802,43
222,0.627187,43
223,0.626313,44
224,0.624784,44
225,0.623806,45
226,0.623827,45
227,0.622379,45
228,0.619546,46
229,0.616942,46
230,0.614857,46
231,0.614264,46
232,0.612960,47
233,0.612205,47
234,0.612160,47
235,0.611818,48
236,0.610354,48
237,0.610167,48
238,0.609472,48
239,0.609512,48
240,0.610177,48
241,0.609093,48
242,0.606249,48
243,0.606324,48
244,0.604557,48
245,0.602224,50
246,0.604057,50
247,0.602805,50
248,0.599167,51
249,0.598534,52
250,0.597327,53
251,0.594700,57
252,0.592640,61
253,0.590309,66
254,0.589173,76
255,0.585045,87
256,0.586311,98
257,0.586121,100
