length_lines,fve,n_samples_at_full
1,0.115058,0
2,0.232118,0
3,0.272670,0
4,0.306765,0
5,0.311783,0
6,0.318528,0
7,0.324448,0
8,0.334153,0
9,0.332860,0
10,0.160944,84
11,0.134014,89
12,0.136188,92
13,0.132501,95
14,0.131051,95
15,0.128288,96
16,0.126391,98
17,0.125169,98
18,0.124090,99
19,0.124071,100
