length_lines,fve,n_samples_at_full
1,0.371042,0
2,0.569186,0
3,0.623075,0
4,0.641842,0
5,0.655854,0
6,0.664857,0
7,0.669623,0
8,0.673984,0
9,0.675337,0
10,0.617044,57
11,0.600210,63
12,0.600007,64
13,0.590313,66
14,0.587029,79
15,0.587401,80
16,0.586652,81
17,0.586706,83
18,0.586316,96
19,0.586201,97
20,0.586121,100
